Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF0001,1012,33.73333333,1560.1156,14.04,226.3,3126093.298,64,14503,12402,1,1,1,Weematel,Mango,0.0
ADF0002,137,4.566666667,1705.8368,73.63,5.0,162.8809,515,29832,88953,9,1,1,ToCall,Mango,0.0
ADF0003,202,6.733333332999999,1720.3008,4.36,245.0,3334606.97,163,228,1495,1,1,1,ToCall,Mango,0.0
ADF0004,165,5.5,1732.28,0.0,12.5,668292.3877,484,0,71928,2,1,1,Uxaa,Mango,1.0
ADF0005,759,25.3,1873.06,69.57,412.5,6666974.778,64,7616,20753,2,1,1,Mango,Mango,0.0
ADF0006,129,4.3,1877.26,46.11,343.75,3387698.2260000003,121,0,20944,1,1,1,PQza,Mango,0.0
ADF0007,148,4.933333333,2388.8208,17.99,1.25,129167.6787,830,0,93461,1,3,1,0,Mango,1.0
ADF0008,1144,38.13333333,2702.35,47.84,48.75,3390.0625,431,60102,131525,1,1,1,Mango,Mango,1.0
ADF0009,137,4.566666667,2782.5572,179.52,315.0,3632010.692,622,0,40724,2,1,1,Weematel,Mango,0.0
ADF0010,1456,48.53333333,2934.7028,200.37,108.75,40638.8886,892,16572,150693,1,2,2,PQza,Mango,0.0
ADF0011,462,15.4,3099.46,0.0,178.87,2271782.651,833,2327,37510,12,2,2,PQza,Mango,0.0
ADF0012,1615,53.83333333,263.77,32.65,21.25,900.1602,38,2352,9658,1,1,1,Mango,Mango,1.0
ADF0013,1422,47.4,292.442,45.16,0.0,130874.5967,24,0,8627,1,1,1,Mango,Mango,1.0
ADF0014,1987,66.23333333,362.81,18.95,0.0,4635.3145,43,2773,14879,1,1,1,Mango,Mango,1.0
ADF0015,2128,70.93333333,364.0,43.38,71.25,2743.7519,33,3880,12629,1,1,0,PQza,Mango,0.0
ADF0016,479,15.96666667,390.73,36.4,0.0,16974.7803,18,0,13934,1,0,0,Mango,Mango,1.0
ADF0017,348,11.6,404.60400000000004,54.81,17.5,198986.25100000002,44,2292,5135,1,1,1,Mango,Mango,1.0
ADF0018,1884,62.8,438.49,38.3,20.0,3461.6777,57,6657,13780,1,1,1,Zintel,Mango,0.0
ADF0019,642,21.4,453.05400000000003,42.95,11.25,59029.0938,65,5826,12797,1,0,0,PQza,Mango,0.0
ADF0020,150,5.0,454.63800000000003,1.75,83.75,842766.9658,6,0,1005,1,1,1,Mango,Mango,0.0
ADF0021,206,6.8666666670000005,455.07,0.0,137.5,64054568.84,12,0,2277,1,1,1,Weematel,Mango,0.0
ADF0022,174,5.8,457.6752,96.93,12.5,191.5703,114,708,22437,1,1,1,Uxaa,Mango,1.0
ADF0023,2783,92.76666667,459.8972,116.76,26.25,4065074.857,43,558,12040,3,1,1,Uxaa,Mango,1.0
ADF0024,2018,67.26666667,468.9204,7.17,3.75,7.4394,108,1854,29087,1,1,1,Mango,Mango,0.0
ADF0025,936,31.2,493.126,32.29,26.25,6733.9004,52,12,20042,1,0,0,Mango,Mango,0.0
ADF0026,2150,71.66666667,501.036,34.87,0.0,2568.8027,68,2862,18731,1,2,2,Uxaa,Mango,0.0
ADF0027,1006,33.53333333,502.356,16.09,7.5,274.9902,131,750,30688,1,1,1,ToCall,Mango,0.0
ADF0028,105,3.5,508.5808,7.73,16.25,35765.9854,67,120,17324,1,3,1,ToCall,Mango,0.0
ADF0029,233,7.766666667000001,509.2452,36.21,15.0,674.5069,145,4392,31497,1,2,2,ToCall,Mango,0.0
ADF0030,1251,41.7,514.884,45.88,3.75,6.0098,174,708,38807,1,0,0,Zintel,Mango,1.0
ADF0031,114,3.8,532.026,1.75,46.25,4378.7695,131,11100,30285,1,1,1,ToCall,Mango,0.0
ADF0032,3325,110.83333329999999,532.53,15.92,12.5,446.7168,54,2385,22504,1,1,1,PQza,Mango,0.0
ADF0033,1506,50.2,561.7784,14.34,2.5,1.8096,133,3468,41004,1,0,0,Mango,Mango,0.0
ADF0034,1333,44.43333333,563.508,7.17,88.75,1071114.4209999999,46,0,358,2,3,3,Uxaa,Mango,0.0
ADF0035,3188,106.26666670000002,580.604,77.05,3.75,45.5146,108,3523,28880,1,2,2,Uxaa,Mango,1.0
ADF0036,2169,72.3,588.8,10.76,61.25,1066516.375,81,980,537,1,3,3,Uxaa,Mango,1.0
ADF0037,2357,78.56666667,601.7,115.96,107.5,26682.8545,21,0,5171,1,1,1,Zintel,Mango,1.0
ADF0139,1366,45.53333333,1313.81,21.4,6.25,17225.3789,253,3060,72309,1,2,2,ToCall,PQza,0.0
